station_name,latitude,longitude,AT,RH,PM2_5,PM10,CO2,time_slot,start_hour,end_hour,slot_number,AQI
Gurugram -  Kanhai Bijli Board,28.446669,77.073737,29.886666666666667,75.88,29.09,138.76,447.6966666666667,00:00-02:59,0,2,1,126
Gurugram - Baliawas Govt School,28.424617,77.144362,29.94333333333333,95.0,49.63666666666666,71.53666666666668,482.1233333333333,00:00-02:59,0,2,1,82
Gurugram - Bhondsi Govt School ,28.349559,77.06553,30.076666666666668,72.04,27.13,140.66333333333333,,00:00-02:59,0,2,1,127
Gurugram - Daulatbad School  ,28.490547,76.994509,32.52,74.81666666666666,45.53333333333333,104.80666666666669,473.70666666666665,00:00-02:59,0,2,1,104
Gurugram - Garouli Khurd Govt School ,28.441068,76.981293,30.50333333333333,89.43,38.02333333333333,97.14666666666666,403.24,00:00-02:59,0,2,1,97
Gurugram - Ghata Govt School,28.42223,77.113236,31.686666666666667,86.96333333333332,25.19333333333333,47.06666666666666,404.61,00:00-02:59,0,2,1,47
Gurugram - Gwal Pahari Govt School ,28.433922,77.145996,30.37333333333333,95.0,44.620000000000005,66.49666666666667,400.0,00:00-02:59,0,2,1,74
Gurugram - IMT Manesar  Krishna society,28.357999,76.935903,31.296666666666667,84.44333333333333,22.406666666666663,107.65666666666668,457.43666666666667,00:00-02:59,0,2,1,105
Gurugram - Jharsa Govt School ,28.441337,77.048096,32.56666666666667,92.31,38.153333333333336,97.43666666666668,400.0,00:00-02:59,0,2,1,97
Gurugram - Kadarpur Govt School ,28.393339,77.101757,,28.8,10.343333333333334,48.13333333333333,400.0,00:00-02:59,0,2,1,48
Gurugram - Krishna Nagar budhera watar plant,28.48293,76.908602,32.24,81.64,41.07666666666666,82.73,400.08,00:00-02:59,0,2,1,83
Gurugram - Manesar Polytechnic Collage ,28.335762,76.926774,30.94,92.95666666666666,31.906666666666663,47.876666666666665,436.7533333333333,00:00-02:59,0,2,1,53
Gurugram - Manesar Village Govt School,28.352222,76.937177,31.14,86.04333333333334,23.486666666666668,109.98,417.4766666666667,00:00-02:59,0,2,1,107
Gurugram - Marla Shivaji Nagar Police Station,28.453801,77.020454,32.18,77.89333333333333,44.11333333333334,103.28000000000002,400.0,00:00-02:59,0,2,1,103
Gurugram - Nurangpur Govt School,28.353966,76.969591,31.27,90.6,23.576666666666668,110.07,400.0,00:00-02:59,0,2,1,107
Gurugram - Sector 1,28.365316,76.946438,25.91,95.0,32.60666666666666,119.05333333333331,487.6933333333333,00:00-02:59,0,2,1,113
Gurugram - Sector 10,28.45059,76.99679,24.576666666666668,95.0,31.133333333333336,90.40333333333332,423.2966666666666,00:00-02:59,0,2,1,90
Gurugram - Sector 105,28.500617,77.013227,32.13333333333333,75.37666666666667,48.16666666666666,107.43666666666668,627.4033333333333,00:00-02:59,0,2,1,105
Gurugram - Sector 11 - Colocation Vikas Sadan ,28.449563,77.028166,31.516666666666666,95.0,33.34,92.62333333333332,461.31666666666666,00:00-02:59,0,2,1,93
Gurugram - Sector 113 ,28.532499,77.02384,31.840000000000003,79.14666666666666,39.72333333333333,122.32,423.0733333333333,00:00-02:59,0,2,1,115
Gurugram - Sector 12,28.466067,77.023713,38.17333333333333,50.72666666666667,41.67333333333333,100.94333333333331,526.8100000000001,00:00-02:59,0,2,1,69
Gurugram - Sector 14 shuash chandar park,28.473744,77.053508,26.263333333333332,95.0,31.746666666666663,90.78,482.93,00:00-02:59,0,2,1,91
Gurugram - Sector 15,28.452573,77.040449,30.93,95.0,34.53,93.82666666666668,523.9833333333332,00:00-02:59,0,2,1,94
Gurugram - Sector 15 MCG Old Committee,28.461273,77.032849,29.863333333333333,95.0,37.89333333333334,97.18,407.98,00:00-02:59,0,2,1,97
Gurugram - Sector 17,28.476462,77.064274,26.5,94.83666666666666,24.80333333333333,125.05,431.5966666666666,00:00-02:59,0,2,1,117
Gurugram - Sector 18,28.486237,77.06628,30.80333333333333,88.67666666666666,34.75333333333333,134.61,492.25666666666666,00:00-02:59,0,2,1,123
Gurugram - Sector 21,28.511332,77.073744,25.41,95.0,23.31,123.07,433.5033333333333,00:00-02:59,0,2,1,116
Gurugram - Sector 22 ,28.500717,77.059503,35.61666666666667,57.53333333333333,28.570000000000004,127.68333333333334,525.2366666666667,00:00-02:59,0,2,1,119
Gurugram - Sector 23A community centre,28.508267,77.04119,36.046666666666674,56.27,41.2,100.26,526.2866666666667,00:00-02:59,0,2,1,68
Gurugram - Sector 24 aravali botanic park,28.482266,77.114755,28.76,95.0,35.63,148.72,495.33,00:00-02:59,0,2,1,133
Gurugram - Sector 29,28.470195,77.063249,31.846666666666664,86.10666666666667,39.34333333333333,98.54,480.2966666666666,00:00-02:59,0,2,1,99
Gurugram - Sector 38,28.429539,77.037968,31.21,95.0,35.016666666666666,94.13333333333333,443.84,00:00-02:59,0,2,1,94
Gurugram - Sector 40,28.450184,77.052716,32.056666666666665,95.0,32.61333333333334,91.88666666666666,419.4866666666667,00:00-02:59,0,2,1,92
Gurugram - Sector 43,28.452392,77.092284,27.906666666666663,94.56166666666668,30.44833333333333,129.90166666666667,463.1983333333333,00:00-02:59,0,2,1,120
Gurugram - Sector 44,28.455281,77.069498,30.46,95.0,39.28333333333333,152.82666666666668,416.37000000000006,00:00-02:59,0,2,1,135
Gurugram - Sector 51 Boosting station,28.429797,77.060825,32.18,80.11333333333333,29.87333333333333,141.84333333333333,850.5500000000001,00:00-02:59,0,2,1,128
Gurugram - Sector 51 Gurugram Collage ,28.422649,77.0664,31.223333333333333,95.0,45.36333333333334,158.92,549.2533333333333,00:00-02:59,0,2,1,139
Gurugram - Sector 51_2,28.423302,77.067241,31.040000000000003,95.0,47.78,161.23333333333335,496.25,00:00-02:59,0,2,1,141
Gurugram - Sector 52A,28.432592,77.091672,30.44333333333333,95.0,40.17,153.74666666666667,417.00666666666666,00:00-02:59,0,2,1,136
Gurugram - Sector 55 Shushant University,28.431094,77.111638,32.07333333333333,84.01333333333334,25.186666666666667,47.06333333333333,429.62,00:00-02:59,0,2,1,47
Gurugram - Sector 56,28.424885,77.103146,29.94,95.0,41.76333333333333,155.35333333333332,405.25666666666666,00:00-02:59,0,2,1,137
Gurugram - Sector 57 SDM office,28.42349,77.076552,29.71333333333333,95.0,41.86666666666667,155.44,400.0,00:00-02:59,0,2,1,137
Gurugram - Sector 65 police Station,28.401424,77.062531,31.343333333333334,91.16333333333334,28.906666666666663,142.46333333333334,587.06,00:00-02:59,0,2,1,129
Gurugram - Sector 68,28.392163,77.047775,30.676666666666662,90.48333333333332,35.723333333333336,149.29,458.25666666666666,00:00-02:59,0,2,1,133
Gurugram - Sector 7,28.374427,76.917052,24.94333333333333,95.0,34.64,121.16,494.9333333333333,00:00-02:59,0,2,1,114
Gurugram - Sector 70,28.39442,77.027833,31.540000000000003,79.85000000000001,25.55,139.22333333333333,460.15,00:00-02:59,0,2,1,126
Gurugram - Sector 8,28.460299,77.019487,30.21333333333333,93.53333333333336,39.01,98.30333333333331,571.85,00:00-02:59,0,2,1,98
Gurugram - Sector 8 IMT Manesar,28.37528384,76.89897382,31.64,80.91666666666667,23.506666666666664,110.35333333333334,403.16333333333336,00:00-02:59,0,2,1,107
Gurugram - Sector 80,28.363209,76.957682,30.83,76.90333333333334,26.78333333333333,113.28666666666668,400.0,00:00-02:59,0,2,1,109
Gurugram - Sector 81A,28.377381,76.954739,30.21666666666667,95.0,28.960000000000004,115.43666666666668,400.0,00:00-02:59,0,2,1,111
Gurugram - Sector 82,28.395279,76.959695,24.42333333333333,95.0,39.38,125.93333333333334,467.09,00:00-02:59,0,2,1,118
Gurugram - Sector 88 ,28.421434,76.956804,32.12,78.22,23.45,109.90666666666668,419.5866666666666,00:00-02:59,0,2,1,107
Gurugram - Sector 91,28.403298,76.915898,32.190000000000005,77.25666666666667,24.96666666666667,111.49,400.0,00:00-02:59,0,2,1,108
Gurugram - Sector 92,28.413654,76.912842,24.566666666666663,95.0,37.35666666666666,123.73333333333332,478.0966666666666,00:00-02:59,0,2,1,116
Gurugram - Sector 93 police station ,28.42012,76.937518,33.45,73.32666666666667,24.97,111.46333333333332,407.6966666666667,00:00-02:59,0,2,1,108
Gurugram - Shikohpur Village Govt School ,28.370157,76.985032,31.12333333333333,95.0,27.69666666666667,114.09,403.65,00:00-02:59,0,2,1,110
Gurugram - Sihi Govt School ,28.409701,76.971676,34.31666666666667,82.17666666666666,20.2,106.76,508.3033333333333,00:00-02:59,0,2,1,105
Gurugram - Silokhra Govt School,28.457423,77.059079,32.26333333333333,77.93333333333334,45.34333333333333,104.62,400.0,00:00-02:59,0,2,1,103
Gurugram - Tahsil Badshahpur,28.399713,77.055285,30.00666666666667,95.0,42.78,156.32333333333335,536.5933333333334,00:00-02:59,0,2,1,138
Gurugram - Teri gram ,28.426002,77.146263,34.53,84.23,38.25,60.09333333333333,570.6833333333333,00:00-02:59,0,2,1,63
Gurugram - Tigra Govt School ,28.416801,77.072824,30.926666666666662,94.7,37.72,150.51666666666668,401.70666666666665,00:00-02:59,0,2,1,134
Gurugram - Ullawas Govt School,28.404975,77.095545,30.883333333333336,86.57,26.876666666666665,140.41666666666666,400.0,00:00-02:59,0,2,1,127
Gurugram Sector 5&6,28.477048,77.021459,33.63999999999999,68.10666666666667,42.56333333333333,101.85333333333334,405.0,00:00-02:59,0,2,1,102
Sector 14 HSVP Administer office,28.477658,77.046274,29.88,95.0,36.89,96.13,,00:00-02:59,0,2,1,96
Gurugram -  Kanhai Bijli Board,28.446669,77.073737,30.19666666666667,76.21333333333332,24.50333333333333,138.70000000000002,466.5566666666667,03:00-05:59,3,5,2,126
Gurugram - Baliawas Govt School,28.424617,77.144362,29.316666666666663,95.0,37.53666666666667,58.37,472.6466666666667,03:00-05:59,3,5,2,62
Gurugram - Bhondsi Govt School ,28.349559,77.06553,29.596666666666668,73.52333333333333,20.256666666666668,134.41,,03:00-05:59,3,5,2,123
Gurugram - Daulatbad School  ,28.490547,76.994509,31.563333333333333,77.77,40.19,77.74666666666667,482.97,03:00-05:59,3,5,2,78
Gurugram - Garouli Khurd Govt School ,28.441068,76.981293,30.586666666666662,89.60666666666667,34.60333333333333,71.94,417.98,03:00-05:59,3,5,2,72
Gurugram - Ghata Govt School,28.42223,77.113236,31.133333333333336,88.03666666666668,19.786666666666665,40.66333333333333,402.6333333333334,03:00-05:59,3,5,2,41
Gurugram - Gwal Pahari Govt School ,28.433922,77.145996,29.546666666666667,95.0,42.75333333333333,63.586666666666666,406.1433333333334,03:00-05:59,3,5,2,71
Gurugram - IMT Manesar  Krishna society,28.357999,76.935903,30.346666666666668,87.53333333333335,30.843333333333334,120.88,449.6566666666667,03:00-05:59,3,5,2,114
Gurugram - Jharsa Govt School ,28.441337,77.048096,31.423333333333336,95.0,28.786666666666665,66.34333333333333,400.0,03:00-05:59,3,5,2,66
Gurugram - Kadarpur Govt School ,28.393339,77.101757,,29.48333333333333,9.093333333333332,30.236666666666668,404.58,03:00-05:59,3,5,2,30
Gurugram - Krishna Nagar budhera watar plant,28.48293,76.908602,31.396666666666665,84.45666666666666,30.78,69.72333333333334,400.0,03:00-05:59,3,5,2,70
Gurugram - Manesar Polytechnic Collage ,28.335762,76.926774,29.87333333333333,95.0,28.203333333333333,41.56,454.2,03:00-05:59,3,5,2,47
Gurugram - Manesar Village Govt School,28.352222,76.937177,30.593333333333334,88.03333333333335,26.7,115.14333333333332,426.18,03:00-05:59,3,5,2,110
Gurugram - Marla Shivaji Nagar Police Station,28.453801,77.020454,30.71333333333333,82.60000000000001,35.46666666666667,72.95333333333333,400.0,03:00-05:59,3,5,2,73
Gurugram - Nurangpur Govt School,28.353966,76.969591,30.606666666666666,93.26333333333332,22.626666666666665,112.66333333333334,400.5333333333333,03:00-05:59,3,5,2,109
Gurugram - Sector 1,28.365316,76.946438,24.99,95.0,29.896666666666665,119.97666666666667,488.8466666666666,03:00-05:59,3,5,2,114
Gurugram - Sector 10,28.45059,76.99679,24.33,95.0,29.02,66.22,465.265,03:00-05:59,3,5,2,66
Gurugram - Sector 105,28.500617,77.013227,31.383333333333336,77.18333333333332,40.3,77.84666666666668,640.3966666666666,03:00-05:59,3,5,2,78
Gurugram - Sector 11 - Colocation Vikas Sadan ,28.449563,77.028166,30.28333333333333,95.0,34.64333333333334,72.28333333333335,451.3133333333333,03:00-05:59,3,5,2,72
Gurugram - Sector 113 ,28.532499,77.02384,31.08333333333333,82.99666666666667,33.056666666666665,80.48333333333333,443.3466666666666,03:00-05:59,3,5,2,80
Gurugram - Sector 12,28.466067,77.023713,37.11666666666667,52.376666666666665,45.54333333333333,82.75333333333333,520.29,03:00-05:59,3,5,2,83
Gurugram - Sector 14 shuash chandar park,28.473744,77.053508,25.4,95.0,23.826666666666668,61.16666666666666,476.7166666666667,03:00-05:59,3,5,2,61
Gurugram - Sector 15,28.452573,77.040449,30.71666666666667,95.0,32.43,69.96,540.8833333333333,03:00-05:59,3,5,2,70
Gurugram - Sector 15 MCG Old Committee,28.461273,77.032849,29.55333333333333,95.0,32.07666666666666,69.60666666666667,420.28,03:00-05:59,3,5,2,70
Gurugram - Sector 17,28.476462,77.064274,26.276666666666667,95.0,18.433333333333334,76.72666666666667,435.4966666666666,03:00-05:59,3,5,2,77
Gurugram - Sector 18,28.486237,77.06628,30.17,91.41666666666669,28.796666666666667,87.06666666666666,490.7866666666666,03:00-05:59,3,5,2,87
Gurugram - Sector 21,28.511332,77.073744,25.186666666666667,95.0,21.226666666666667,79.42,449.32666666666665,03:00-05:59,3,5,2,79
Gurugram - Sector 22 ,28.500717,77.059503,35.21333333333333,58.68000000000001,32.67333333333334,90.99333333333334,548.1899999999999,03:00-05:59,3,5,2,91
Gurugram - Sector 23A community centre,28.508267,77.04119,36.31,54.873333333333335,39.14666666666667,76.72333333333334,531.2766666666666,03:00-05:59,3,5,2,77
Gurugram - Sector 24 aravali botanic park,28.482266,77.114755,28.343333333333334,95.0,24.423333333333336,82.53333333333335,541.9366666666666,03:00-05:59,3,5,2,83
Gurugram - Sector 29,28.470195,77.063249,31.22,87.91333333333334,35.513333333333335,73.07333333333334,481.87000000000006,03:00-05:59,3,5,2,73
Gurugram - Sector 38,28.429539,77.037968,30.376666666666665,95.0,35.01333333333333,72.5,454.98,03:00-05:59,3,5,2,72
Gurugram - Sector 40,28.450184,77.052716,31.40333333333333,95.0,25.80666666666667,63.31666666666666,412.1166666666666,03:00-05:59,3,5,2,63
Gurugram - Sector 43,28.452392,77.092284,27.345,95.0,26.33,84.46166666666666,472.6983333333333,03:00-05:59,3,5,2,84
Gurugram - Sector 44,28.455281,77.069498,29.62333333333333,95.0,27.46666666666667,141.6266666666667,407.18,03:00-05:59,3,5,2,128
Gurugram - Sector 51 Boosting station,28.429797,77.060825,31.25,83.03333333333335,21.08,135.26333333333335,862.6199999999999,03:00-05:59,3,5,2,124
Gurugram - Sector 51 Gurugram Collage ,28.422649,77.0664,30.276666666666667,95.0,34.57,148.67666666666665,552.0966666666667,03:00-05:59,3,5,2,133
Gurugram - Sector 51_2,28.423302,77.067241,29.876666666666665,95.0,39.376666666666665,153.52333333333334,443.0966666666666,03:00-05:59,3,5,2,136
Gurugram - Sector 52A,28.432592,77.091672,29.546666666666667,95.0,27.723333333333333,141.86666666666667,424.5533333333333,03:00-05:59,3,5,2,128
Gurugram - Sector 55 Shushant University,28.431094,77.111638,31.396666666666665,86.49666666666667,28.16333333333333,48.99333333333334,436.65333333333336,03:00-05:59,3,5,2,49
Gurugram - Sector 56,28.424885,77.103146,30.00333333333333,95.0,41.16,155.36,423.77,03:00-05:59,3,5,2,137
Gurugram - Sector 57 SDM office,28.42349,77.076552,29.96333333333333,95.0,41.64,153.85,401.9433333333333,03:00-05:59,3,5,2,136
Gurugram - Sector 65 police Station,28.401424,77.062531,30.486666666666665,89.67333333333333,24.86,128.79,595.2466666666667,03:00-05:59,3,5,2,119
Gurugram - Sector 68,28.392163,77.047775,29.55666666666667,95.0,33.403333333333336,147.57,464.7433333333333,03:00-05:59,3,5,2,132
Gurugram - Sector 7,28.374427,76.917052,24.766666666666666,95.0,25.776666666666667,115.82,526.9266666666666,03:00-05:59,3,5,2,111
Gurugram - Sector 70,28.39442,77.027833,30.41333333333333,84.56,24.24,137.45333333333335,454.4,03:00-05:59,3,5,2,125
Gurugram - Sector 8,28.460299,77.019487,30.4,93.63333333333333,33.54666666666667,70.88666666666667,597.6133333333333,03:00-05:59,3,5,2,71
Gurugram - Sector 8 IMT Manesar,28.37528384,76.89897382,31.11,85.97000000000001,27.72666666666667,117.81,401.8833333333334,03:00-05:59,3,5,2,112
Gurugram - Sector 80,28.363209,76.957682,30.043333333333333,80.83999999999999,30.11666666666667,120.15666666666668,400.0,03:00-05:59,3,5,2,114
Gurugram - Sector 81A,28.377381,76.954739,30.433333333333334,95.0,22.87333333333333,112.91333333333334,400.32,03:00-05:59,3,5,2,109
Gurugram - Sector 82,28.395279,76.959695,24.16333333333333,95.0,31.30333333333333,121.36333333333334,495.50666666666666,03:00-05:59,3,5,2,115
Gurugram - Sector 88 ,28.421434,76.956804,31.436666666666667,79.31666666666666,26.953333333333333,117.0,410.51,03:00-05:59,3,5,2,112
Gurugram - Sector 91,28.403298,76.915898,31.53,79.34666666666668,25.026666666666667,113.95,432.55,03:00-05:59,3,5,2,110
Gurugram - Sector 92,28.413654,76.912842,24.31,95.0,33.73666666666667,123.81333333333332,502.7766666666666,03:00-05:59,3,5,2,116
Gurugram - Sector 93 police station ,28.42012,76.937518,32.056666666666665,77.57333333333334,26.62333333333333,115.87666666666668,404.8033333333333,03:00-05:59,3,5,2,111
Gurugram - Shikohpur Village Govt School ,28.370157,76.985032,30.586666666666662,95.0,27.513333333333332,117.45333333333332,400.0,03:00-05:59,3,5,2,112
Gurugram - Sihi Govt School ,28.409701,76.971676,33.71333333333333,82.64999999999999,18.236666666666668,108.28333333333336,502.07666666666665,03:00-05:59,3,5,2,106
Gurugram - Silokhra Govt School,28.457423,77.059079,31.72,78.76333333333334,41.25333333333333,78.72333333333334,400.0,03:00-05:59,3,5,2,79
Gurugram - Tahsil Badshahpur,28.399713,77.055285,30.063333333333333,95.0,43.94333333333333,156.53,569.16,03:00-05:59,3,5,2,138
Gurugram - Teri gram ,28.426002,77.146263,33.93,86.39999999999999,29.94666666666667,50.79333333333333,563.1966666666667,03:00-05:59,3,5,2,50
Gurugram - Tigra Govt School ,28.416801,77.072824,30.256666666666664,95.0,28.46,142.63666666666666,400.0966666666666,03:00-05:59,3,5,2,129
Gurugram - Ullawas Govt School,28.404975,77.095545,30.03,89.89333333333333,22.703333333333333,136.79,403.9166666666667,03:00-05:59,3,5,2,125
Gurugram Sector 5&6,28.477048,77.021459,32.916666666666664,69.14999999999999,45.35999999999999,82.7,425.3733333333333,03:00-05:59,3,5,2,83
Sector 14 HSVP Administer office,28.477658,77.046274,29.84,95.0,31.37333333333333,67.13666666666667,,03:00-05:59,3,5,2,67
Gurugram -  Kanhai Bijli Board,28.446669,77.073737,29.786666666666665,77.28333333333335,23.243333333333336,191.92,466.6166666666666,06:00-08:59,6,8,3,161
Gurugram - Baliawas Govt School,28.424617,77.144362,29.703333333333333,95.0,33.71333333333333,74.23,489.93,06:00-08:59,6,8,3,74
Gurugram - Bhondsi Govt School ,28.349559,77.06553,29.616666666666664,74.7,24.106666666666666,191.7166666666667,,06:00-08:59,6,8,3,161
Gurugram - Daulatbad School  ,28.490547,76.994509,30.746666666666663,83.23,37.84333333333333,74.87666666666667,516.3266666666667,06:00-08:59,6,8,3,75
Gurugram - Garouli Khurd Govt School ,28.441068,76.981293,30.456666666666667,90.0,32.77333333333333,69.85666666666667,417.7833333333333,06:00-08:59,6,8,3,70
Gurugram - Ghata Govt School,28.42223,77.113236,30.73333333333333,93.16666666666669,26.96,67.59666666666666,416.1133333333333,06:00-08:59,6,8,3,68
Gurugram - Gwal Pahari Govt School ,28.433922,77.145996,30.03,95.0,36.66,70.0,400.0,06:00-08:59,6,8,3,70
Gurugram - IMT Manesar  Krishna society,28.357999,76.935903,30.73333333333333,87.77333333333333,27.98333333333333,115.85666666666668,445.3466666666666,06:00-08:59,6,8,3,111
Gurugram - Jharsa Govt School ,28.441337,77.048096,31.42,94.98333333333332,29.51,66.67333333333333,400.0,06:00-08:59,6,8,3,67
Gurugram - Kadarpur Govt School ,28.393339,77.101757,,28.430000000000003,8.75,46.03,400.0,06:00-08:59,6,8,3,46
Gurugram - Krishna Nagar budhera watar plant,28.48293,76.908602,31.64,86.20666666666666,29.81,56.173333333333325,400.47,06:00-08:59,6,8,3,56
Gurugram - Manesar Polytechnic Collage ,28.335762,76.926774,30.33,95.0,27.883333333333336,40.26333333333333,450.29,06:00-08:59,6,8,3,46
Gurugram - Manesar Village Govt School,28.352222,76.937177,30.576666666666668,90.9,20.593333333333334,108.46666666666664,431.4,06:00-08:59,6,8,3,106
Gurugram - Marla Shivaji Nagar Police Station,28.453801,77.020454,30.91,84.51666666666667,35.03,72.19,409.26,06:00-08:59,6,8,3,72
Gurugram - Nurangpur Govt School,28.353966,76.969591,30.790000000000003,93.58666666666666,23.096666666666664,110.97,402.2033333333334,06:00-08:59,6,8,3,108
Gurugram - Sector 1,28.365316,76.946438,25.430000000000003,95.0,27.15,115.02333333333333,478.6566666666667,06:00-08:59,6,8,3,110
Gurugram - Sector 10,28.45059,76.99679,24.486666666666668,95.0,29.2,66.41333333333334,458.31,06:00-08:59,6,8,3,66
Gurugram - Sector 105,28.500617,77.013227,30.576666666666664,82.80333333333333,36.23,73.44,624.4066666666666,06:00-08:59,6,8,3,73
Gurugram - Sector 11 - Colocation Vikas Sadan ,28.449563,77.028166,30.52,95.0,34.02,71.18666666666667,481.3133333333333,06:00-08:59,6,8,3,71
Gurugram - Sector 113 ,28.532499,77.02384,30.863333333333333,85.25,30.69666666666667,139.6266666666667,447.26666666666665,06:00-08:59,6,8,3,127
Gurugram - Sector 12,28.466067,77.023713,37.41,52.97333333333333,39.56,76.60333333333334,539.9866666666667,06:00-08:59,6,8,3,77
Gurugram - Sector 14 shuash chandar park,28.473744,77.053508,25.293333333333333,95.0,26.646666666666665,63.86000000000001,491.9166666666667,06:00-08:59,6,8,3,64
Gurugram - Sector 15,28.452573,77.040449,30.616666666666664,95.0,31.0,68.30666666666666,558.97,06:00-08:59,6,8,3,68
Gurugram - Sector 15 MCG Old Committee,28.461273,77.032849,29.846666666666668,94.71666666666664,32.32,69.67,419.43666666666667,06:00-08:59,6,8,3,70
Gurugram - Sector 17,28.476462,77.064274,25.856666666666666,95.0,20.26,93.28,452.75666666666666,06:00-08:59,6,8,3,93
Gurugram - Sector 18,28.486237,77.06628,29.62333333333333,93.33666666666666,25.626666666666665,98.61,493.64,06:00-08:59,6,8,3,99
Gurugram - Sector 21,28.511332,77.073744,24.76333333333333,95.0,18.23,91.18666666666668,447.47333333333336,06:00-08:59,6,8,3,91
Gurugram - Sector 22 ,28.500717,77.059503,34.71333333333333,60.656666666666666,29.83333333333333,102.84333333333332,543.3000000000001,06:00-08:59,6,8,3,102
Gurugram - Sector 23A community centre,28.508267,77.04119,35.733333333333334,57.00333333333333,40.56666666666666,77.94666666666666,543.5533333333333,06:00-08:59,6,8,3,78
Gurugram - Sector 24 aravali botanic park,28.482266,77.114755,28.6,95.0,25.026666666666667,97.81333333333332,468.8866666666667,06:00-08:59,6,8,3,98
Gurugram - Sector 29,28.470195,77.063249,30.516666666666666,93.02333333333333,35.39333333333334,72.47333333333333,462.45,06:00-08:59,6,8,3,72
Gurugram - Sector 38,28.429539,77.037968,30.60333333333333,95.0,34.78,72.00666666666667,487.23333333333335,06:00-08:59,6,8,3,72
Gurugram - Sector 40,28.450184,77.052716,31.136666666666667,95.0,29.33,66.69,431.4933333333333,06:00-08:59,6,8,3,67
Gurugram - Sector 43,28.452392,77.092284,27.05,95.0,28.99833333333333,101.79666666666668,486.5566666666667,06:00-08:59,6,8,3,102
Gurugram - Sector 44,28.455281,77.069498,29.62333333333333,95.0,34.82333333333333,203.6266666666667,436.7966666666666,06:00-08:59,6,8,3,169
Gurugram - Sector 51 Boosting station,28.429797,77.060825,31.21333333333333,86.57,22.163333333333338,191.1233333333333,880.6033333333334,06:00-08:59,6,8,3,161
Gurugram - Sector 51 Gurugram Collage ,28.422649,77.0664,30.363333333333333,95.0,30.89333333333333,199.83333333333331,580.69,06:00-08:59,6,8,3,167
Gurugram - Sector 51_2,28.423302,77.067241,30.356666666666666,95.0,31.75333333333333,200.57666666666668,421.6966666666667,06:00-08:59,6,8,3,167
Gurugram - Sector 52A,28.432592,77.091672,29.94,95.0,34.096666666666664,202.8733333333333,441.9633333333333,06:00-08:59,6,8,3,169
Gurugram - Sector 55 Shushant University,28.431094,77.111638,30.886666666666667,90.23,29.366666666666664,69.95666666666666,457.2366666666667,06:00-08:59,6,8,3,70
Gurugram - Sector 56,28.424885,77.103146,29.83666666666667,95.0,37.59,206.48,423.0266666666666,06:00-08:59,6,8,3,171
